,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 44,The programs success demonstrated that an improved cold chain network is essential for strengthening health systems and creating opportunities to scale similar programs throughout Central America.,"('Access_And_Affordability', 0.315637469291687)","('Critical_Incident_Risk_Management', 0.18441027402877808)","('Employee_Health_And_Safety', 0.15947622060775757)","('NON-ESG', 0.315637469291687)","('NON-ESG', 0.18441027402877808)","('NON-ESG', 0.15947622060775757)"
Line 45,"LEARN MORE Delivering urgent COVID-19 relief to India and its people The massive surge in COVID-19 cases, fueled by the rapid spread of the Delta variant, threatened to overwhelm the healthcare system in Indias state of West Bengal.","('Critical_Incident_Risk_Management', 0.6432561278343201)","('Access_And_Affordability', 0.1280364692211151)","('Employee_Health_And_Safety', 0.04415303096175194)","(['Risk & Crisis Management'], 0.6432561278343201)","('NON-ESG', 0.1280364692211151)","('NON-ESG', 0.04415303096175194)"
Line 46,"With daily cases spiking to more than 400,000, the lack of oxygen equipment turned into a crisis.","('Critical_Incident_Risk_Management', 0.8567427396774292)","('Employee_Health_And_Safety', 0.05401395633816719)","('Access_And_Affordability', 0.010282427072525024)","(['Risk & Crisis Management'], 0.8567427396774292)","('NON-ESG', 0.05401395633816719)","('NON-ESG', 0.010282427072525024)"
Line 47,The UPS Foundation immediately pledged their support to India .,"('Management_Of_Legal_And_Regulatory_Framework', 0.4811770021915436)","('Human_Rights_And_Community_Relations', 0.2291172444820404)","('Access_And_Affordability', 0.03814220428466797)","('NON-ESG', 0.4811770021915436)","('NON-ESG', 0.2291172444820404)","('NON-ESG', 0.03814220428466797)"
Line 48,"Through its long-standing partnerships, a rapid logistics effort came together to deliver portable oxygen concentrators and other needed medical products to combat the virus in West Bengal.","('Selling_Practices_And_Product_Labeling', 0.12212969362735748)","('Customer_Welfare', 0.10414039343595505)","('Product_Quality_And_Safety', 0.09277135878801346)","('NON-ESG', 0.12212969362735748)","('NON-ESG', 0.10414039343595505)","('NON-ESG', 0.09277135878801346)"
Line 49,"LEARN MORE 11,979 oxygen concentrators, ventilators, and respirators1M masks 580K pounds of relief deliveredO2 9I Health & Humanitarian Relief I Equity & Economic Empowerment I Local Community Engagement I Planet Protection Restoring homes, restoring dignity Nine years had passed since Hurricane Sandy ravaged the East Coast of the United States and caused significant damage to Richard Bennicks home.","('Critical_Incident_Risk_Management', 0.6303173303604126)","('Human_Rights_And_Community_Relations', 0.10227009654045105)","('Physical_Impacts_Of_Climate_Change', 0.075742706656456)","(['Risk & Crisis Management'], 0.6303173303604126)","('NON-ESG', 0.10227009654045105)","('NON-ESG', 0.075742706656456)"
Line 50,"A retired New York City firefighter, Richard couldnt afford to complete the needed repairs to his home.","('Employee_Health_And_Safety', 0.5334402918815613)","('Critical_Incident_Risk_Management', 0.25066715478897095)","('Access_And_Affordability', 0.02225792221724987)","(['Occupational Health & Safety'], 0.5334402918815613)","('NON-ESG', 0.25066715478897095)","('NON-ESG', 0.02225792221724987)"
Line 51,He slept in an overcoat during the winter months to keep warm and had to endure the intense mildew smell every time it rained due to the leaky roof.,"('Air_Quality', 0.20862700045108795)","('Physical_Impacts_Of_Climate_Change', 0.1765647530555725)","('Waste_And_Hazardous_Materials_Management', 0.09511809796094894)","('NON-ESG', 0.20862700045108795)","('NON-ESG', 0.1765647530555725)","('NON-ESG', 0.09511809796094894)"
Line 52,"Through funding from The UPS Foundation, St. Bernard Project (SBP) helped Richard get a new roof, siding, and provided interior repairs to his home.","('Access_And_Affordability', 0.1469133049249649)","('Product_Design_And_Lifecycle_Management', 0.14218921959400177)","('Energy_Management', 0.13113075494766235)","('NON-ESG', 0.1469133049249649)","('NON-ESG', 0.14218921959400177)","('NON-ESG', 0.13113075494766235)"
Line 53,"Through this partnership, we have aided more than 2,900 families with their rebuilding efforts in the aftermath of a natural disaster.","('Critical_Incident_Risk_Management', 0.963920533657074)","('Employee_Health_And_Safety', 0.0078082880936563015)","('Physical_Impacts_Of_Climate_Change', 0.0034363807644695044)","(['Risk & Crisis Management'], 0.963920533657074)","('NON-ESG', 0.0078082880936563015)","('NON-ESG', 0.0034363807644695044)"
Line 54,"LEARN MORE Providing safe drinking water to meet basic needs Across the East African countries of Kenya, Tanzania, and Uganda, its estimated that women and children spend 200 million hours per day collecting safe drinking water.","('Water_And_Wastewater_Management', 0.9652928113937378)","('Energy_Management', 0.004579083528369665)","('Waste_And_Hazardous_Materials_Management', 0.0028720987029373646)","([], 0.9652928113937378)","('NON-ESG', 0.004579083528369665)","('NON-ESG', 0.0028720987029373646)"
Line 55,Thats valuable time that could be spent earning a living or attending school.,"('Access_And_Affordability', 0.3340955078601837)","('Labor_Practices', 0.3067319095134735)","('Employee_Health_And_Safety', 0.042695824056863785)","('NON-ESG', 0.3340955078601837)","('NON-ESG', 0.3067319095134735)","('NON-ESG', 0.042695824056863785)"
Line 56,"WaterStep collaborated with UPS logisticians to develop a new approach for distributing its water treatment equipment to areas in East and South Africa, where approximately 157 million people lack access to safe drinking water.","('Water_And_Wastewater_Management', 0.9775285124778748)","('Energy_Management', 0.0021208778489381075)","('GHG_Emissions', 0.001769847352989018)","([], 0.9775285124778748)","('NON-ESG', 0.0021208778489381075)","('NON-ESG', 0.001769847352989018)"
Line 57,The UPS Foundation funded the organizations largest shipment of equipment.,"('Energy_Management', 0.45593592524528503)","('Product_Design_And_Lifecycle_Management', 0.0890774354338646)","('Waste_And_Hazardous_Materials_Management', 0.07336382567882538)","('NON-ESG', 0.45593592524528503)","('NON-ESG', 0.0890774354338646)","('NON-ESG', 0.07336382567882538)"
Line 58,These safe water systems will help an estimated 1.7 million people have access to clean water.,"('Water_And_Wastewater_Management', 0.9749967455863953)","('Ecological_Impacts', 0.00283467723056674)","('GHG_Emissions', 0.0022174299228936434)","([], 0.9749967455863953)","('NON-ESG', 0.00283467723056674)","('NON-ESG', 0.0022174299228936434)"
Line 59,"LEARN MORE 160 recovery shipments15 long-term recovery engagements40 countries supported 10I Health & Humanitarian Relief I Equity & Economic Empowerment I Local Community Engagement I Planet Protection Helping in the aftermath of hurricanes As Hurricane Ida churned off the Gulf Coast of the United States, The UPS Foundation worked with the American Red Cross and other partners to pre-position supplies and volunteers before the Category 4 storm made landfall.","('Critical_Incident_Risk_Management', 0.5542788505554199)","('Physical_Impacts_Of_Climate_Change', 0.30921730399131775)","('Business_Model_Resilience', 0.014549678191542625)","(['Risk & Crisis Management'], 0.5542788505554199)","('NON-ESG', 0.30921730399131775)","('NON-ESG', 0.014549678191542625)"
Line 60,"Since 1992, The UPS Foundation has provided $500,000 to the Red Cross Emergency Relief Fund to help ensure that essential relief supplies are available in a disasters aftermath.","('Critical_Incident_Risk_Management', 0.9724737405776978)","('Physical_Impacts_Of_Climate_Change', 0.002809439552947879)","('Employee_Health_And_Safety', 0.002456667833030224)","(['Risk & Crisis Management'], 0.9724737405776978)","('NON-ESG', 0.002809439552947879)","('NON-ESG', 0.002456667833030224)"
Line 61,The UPS Foundation mobilized more than 40 truckloads of relief supplies with several partner organizations after the storm tore through nine states.,"('Critical_Incident_Risk_Management', 0.8140307664871216)","('Physical_Impacts_Of_Climate_Change', 0.09584982693195343)","('Air_Quality', 0.011150849051773548)","(['Risk & Crisis Management'], 0.8140307664871216)","('NON-ESG', 0.09584982693195343)","('NON-ESG', 0.011150849051773548)"
Line 62,"Through our partnership with ToolbankUSA, we transported thousands of tools to help families and volunteers dig out, clean up, and start down the road to recovery.","('Employee_Health_And_Safety', 0.2574990391731262)","('Critical_Incident_Risk_Management', 0.25650396943092346)","('Access_And_Affordability', 0.10428968071937561)","('NON-ESG', 0.2574990391731262)","('NON-ESG', 0.25650396943092346)","('NON-ESG', 0.10428968071937561)"
Line 63,"LEARN MORE Stepping up for Haiti earthquake victims When a 7.2 magnitude earthquake rocked Haiti, thousands of people died, and countless more were left without shelter.","('Critical_Incident_Risk_Management', 0.9109379649162292)","('Physical_Impacts_Of_Climate_Change', 0.026771292090415955)","('Employee_Health_And_Safety', 0.01141896191984415)","(['Risk & Crisis Management'], 0.9109379649162292)","('NON-ESG', 0.026771292090415955)","('NON-ESG', 0.01141896191984415)"
Line 64,"As relief operations were getting started, Tropical Storm Claire ripped through the country compounding the suffering of the Haitian people.","('Critical_Incident_Risk_Management', 0.8401622176170349)","('Physical_Impacts_Of_Climate_Change', 0.03827791288495064)","('Employee_Health_And_Safety', 0.02097749523818493)","(['Risk & Crisis Management'], 0.8401622176170349)","('NON-ESG', 0.03827791288495064)","('NON-ESG', 0.02097749523818493)"
Line 65,"The UPS Foundation immediately granted $500,000 for food, shelter, and medical aid, and launched a collaboration with 10 non-profit partners to provide additional support.","('Access_And_Affordability', 0.8376357555389404)","('Critical_Incident_Risk_Management', 0.03383052349090576)","('Human_Rights_And_Community_Relations', 0.021113963797688484)","([], 0.8376357555389404)","('NON-ESG', 0.03383052349090576)","('NON-ESG', 0.021113963797688484)"
Line 66,"UPS Healthcare, UPS Global Freight Forwarding, and Coyote Logistics also provided three emergency relief flights into Haiti.","('Critical_Incident_Risk_Management', 0.9731360673904419)","('Employee_Health_And_Safety', 0.003161726053804159)","('Air_Quality', 0.0027273527812212706)","(['Risk & Crisis Management'], 0.9731360673904419)","('NON-ESG', 0.003161726053804159)","('NON-ESG', 0.0027273527812212706)"
Line 67,"LEARN MORE 1K+ hygiene kits delivered3K+ blankets delivered2K mosquito nets, tents, mattresses delivered 11I Health & Humanitarian Relief I Equity & Economic Empowerment I Local Community Engagement I Planet Protection UNHCR/HASSIB SEDIQI Maxime Michel/CARE Supporting Afghan refugees dreams for a better tomorrow With more than 600,000 Afghans fleeing from Taliban rule, The UPS Foundation launched a multi-phased approach to assist with this humanitarian crisis.","('Critical_Incident_Risk_Management', 0.6589212417602539)","('Employee_Health_And_Safety', 0.12022034823894501)","('Access_And_Affordability', 0.05889648571610451)","(['Risk & Crisis Management'], 0.6589212417602539)","('NON-ESG', 0.12022034823894501)","('NON-ESG', 0.05889648571610451)"
Line 68,"In partnership with the American Red Cross, Good360, Friends of Disabled Adults and Children, The CDC Foundation, and The Salvation Army, The UPS Foundation provided care for Afghan refugees arriving in the United States.","('Access_And_Affordability', 0.5735361576080322)","('Human_Rights_And_Community_Relations', 0.08493756502866745)","('Employee_Health_And_Safety', 0.07198061048984528)","([], 0.5735361576080322)","('NON-ESG', 0.08493756502866745)","('NON-ESG', 0.07198061048984528)"
Line 69,Together $1.5 million in relief supplies were delivered.,"('Critical_Incident_Risk_Management', 0.8997510671615601)","('Physical_Impacts_Of_Climate_Change', 0.01500037033110857)","('Access_And_Affordability', 0.009944752790033817)","(['Risk & Crisis Management'], 0.8997510671615601)","('NON-ESG', 0.01500037033110857)","('NON-ESG', 0.009944752790033817)"
Line 70,"Overseas, UPS partnered with United Nations High Commissioner for Refugees to transport shelter supplies to Uzbekistan supporting 35,000 displaced Afghan refugees.","('Critical_Incident_Risk_Management', 0.35687440633773804)","('Human_Rights_And_Community_Relations', 0.2235553115606308)","('Employee_Health_And_Safety', 0.07928638905286789)","('NON-ESG', 0.35687440633773804)","('NON-ESG', 0.2235553115606308)","('NON-ESG', 0.07928638905286789)"
Line 71,"LEARN MORE Helping CARE empower women and girls globally CARE works around the globe, with a focus on women and girls, to save lives, defeat poverty, and achieve social justice.","('Human_Rights_And_Community_Relations', 0.6074734330177307)","('Access_And_Affordability', 0.20759429037570953)","('Labor_Practices', 0.03511263057589531)","(['Stakeholder Engagement'], 0.6074734330177307)","('NON-ESG', 0.20759429037570953)","('NON-ESG', 0.03511263057589531)"
Line 72,"As just one example of our partnership, The UPS Foundation worked with CARE to upgrade their inventory management system in five country offices in West Africa.","('Product_Design_And_Lifecycle_Management', 0.20603978633880615)","('Supply_Chain_Management', 0.19866269826889038)","('Energy_Management', 0.13484856486320496)","('NON-ESG', 0.20603978633880615)","('NON-ESG', 0.19866269826889038)","('NON-ESG', 0.13484856486320496)"
Line 73,The effort has contributed to humanitarian relief shipments being delivered efficiently for more than two million vulnerable people.,"('Critical_Incident_Risk_Management', 0.5477421283721924)","('Access_And_Affordability', 0.15728148818016052)","('Human_Rights_And_Community_Relations', 0.09431257098913193)","(['Risk & Crisis Management'], 0.5477421283721924)","('NON-ESG', 0.15728148818016052)","('NON-ESG', 0.09431257098913193)"
Line 74,"LEARN MORE 12Investing in organizations that address systemic education barriers and creating economic opportunities for underserved & underrepresented women, youth, and marginalized communities.","('Access_And_Affordability', 0.9283550381660461)","('Human_Rights_And_Community_Relations', 0.012381590902805328)","('Product_Quality_And_Safety', 0.00578251201659441)","([], 0.9283550381660461)","('NON-ESG', 0.012381590902805328)","('NON-ESG', 0.00578251201659441)"
Line 75,"Chapter 2 Equity & Economic EmpowermentI Health & Humanitarian Relief I Equity & Economic Empowerment I Local Community Engagement I Planet Protection 1 4 5 8 10Related Sustainable Development Goals Goal: 25% of charitable donations and related programming targeting underserved women, youth and marginalized communities $200K awarded to the Miranda Family Foundation for arts equity grants $19.5M+ addressed systemic barriers for target population 14K women entrepreneurs were trained and coached 13I Health & Humanitarian Relief I Equity & Economic Empowerment I Local Community Engagement I Planet Protection Weve partnered with Opportunity International to help transform lives in developing countries through affordable financial products and services.","('Access_And_Affordability', 0.7645794749259949)","('Human_Rights_And_Community_Relations', 0.11534050107002258)","('Employee_Engagement_Inclusion_And_Diversity', 0.017821623012423515)","([], 0.7645794749259949)","('NON-ESG', 0.11534050107002258)","('NON-ESG', 0.017821623012423515)"
Line 76,"Chapter 2 Equity & Economic EmpowermentI Health & Humanitarian Relief I Equity & Economic Empowerment I Local Community Engagement I Planet Protection 1 4 5 8 10Related Sustainable Development Goals Goal: 25% of charitable donations and related programming targeting underserved women, youth and marginalized communities $200K awarded to the Miranda Family Foundation for arts equity grants $19.5M+ addressed systemic barriers for target population 14K women entrepreneurs were trained and coached 13I Health & Humanitarian Relief I Equity & Economic Empowerment I Local Community Engagement I Planet Protection Weve partnered with Opportunity International to help transform lives in developing countries through affordable financial products and services.","('Human_Rights_And_Community_Relations', 0.8817120790481567)","('Access_And_Affordability', 0.045028604567050934)","('Employee_Engagement_Inclusion_And_Diversity', 0.007580884732306004)","(['Stakeholder Engagement'], 0.8817120790481567)","('NON-ESG', 0.045028604567050934)","('NON-ESG', 0.007580884732306004)"
Line 77,"We are proud to expand our support of Opportunity International, which is increasing economic literacy and access to finance for women like Rose.","('Access_And_Affordability', 0.5147027373313904)","('Employee_Engagement_Inclusion_And_Diversity', 0.23417487740516663)","('Human_Rights_And_Community_Relations', 0.07048072665929794)","([], 0.5147027373313904)","('NON-ESG', 0.23417487740516663)","('NON-ESG', 0.07048072665929794)"
Line 78,Nikki Clifton President Social Impact and The UPS Foundation Kaptcha_PhotographyBoosting microfinancing for women-owned businesses worldwide Madame Rose is a widowed mother of eight who lives in Uganda and operates a thriving agribusiness.,"('Access_And_Affordability', 0.35487622022628784)","('Human_Rights_And_Community_Relations', 0.10896734148263931)","('Business_Model_Resilience', 0.09477970749139786)","('NON-ESG', 0.35487622022628784)","('NON-ESG', 0.10896734148263931)","('NON-ESG', 0.09477970749139786)"
Line 79,"A savvy entrepreneur, Rose accessed financing and received business training from Opportunity International, a global organization that designs, delivers, and scales innovative financial solutions that help families living in extreme poverty build sustainable livelihoods and access quality education for their children.","('Access_And_Affordability', 0.8752878308296204)","('Human_Rights_And_Community_Relations', 0.02987796813249588)","('Critical_Incident_Risk_Management', 0.007765884045511484)","([], 0.8752878308296204)","('NON-ESG', 0.02987796813249588)","('NON-ESG', 0.007765884045511484)"
Line 80,Rose has significantly increased her income and assets and has become a role-model and mentor to other women in her community.,"('Access_And_Affordability', 0.38070744276046753)","('Human_Rights_And_Community_Relations', 0.2576693892478943)","('Employee_Engagement_Inclusion_And_Diversity', 0.1623004972934723)","('NON-ESG', 0.38070744276046753)","('NON-ESG', 0.2576693892478943)","('NON-ESG', 0.1623004972934723)"
Line 81,"Funding from The UPS Foundation helps Opportunity International support equity and economic empowerment for women entrepreneurs like Rose in Colombia, Ghana, and Uganda.","('Employee_Engagement_Inclusion_And_Diversity', 0.3024178743362427)","('Human_Rights_And_Community_Relations', 0.2766455411911011)","('Access_And_Affordability', 0.19160017371177673)","('NON-ESG', 0.3024178743362427)","('NON-ESG', 0.2766455411911011)","('NON-ESG', 0.19160017371177673)"
Line 82,"This powerful partnership is providing knowledge, capital, and access to markets to motivated, underserved women.","('Access_And_Affordability', 0.9438287019729614)","('Human_Rights_And_Community_Relations', 0.0059124743565917015)","('Critical_Incident_Risk_Management', 0.005322457756847143)","([], 0.9438287019729614)","('NON-ESG', 0.0059124743565917015)","('NON-ESG', 0.005322457756847143)"
Line 83,LEARN MORE 14I Health & Humanitarian Relief I Equity & Economic Empowerment I Local Community Engagement I Planet Protection Helping women-owned businesses thrive Nilu owns a tea business in Sri Lanka.,"('Human_Rights_And_Community_Relations', 0.9344511032104492)","('Access_And_Affordability', 0.016819389536976814)","('Employee_Engagement_Inclusion_And_Diversity', 0.005650065839290619)","(['Stakeholder Engagement'], 0.9344511032104492)","('NON-ESG', 0.016819389536976814)","('NON-ESG', 0.005650065839290619)"
Line 84,"Operating a small business is a difficult task in the best of times, but the spread of the COVID-19 pandemic brought even greater barriers and uncertainty to entrepreneurs like Nilu.","('Systemic_Risk_Management', 0.3860556483268738)","('Physical_Impacts_Of_Climate_Change', 0.2178337424993515)","('Supply_Chain_Management', 0.07286578416824341)","('NON-ESG', 0.3860556483268738)","('NON-ESG', 0.2178337424993515)","('NON-ESG', 0.07286578416824341)"
Line 85,"Fortunately, she was part of the Asia Women Exporters Mentorship Program, which is a collaboration between The UPS Foundation and the Asian Trade Centre Foundation.","('Employee_Engagement_Inclusion_And_Diversity', 0.16831840574741364)","('Human_Rights_And_Community_Relations', 0.09781826287508011)","('Business_Model_Resilience', 0.08713620156049728)","('NON-ESG', 0.16831840574741364)","('NON-ESG', 0.09781826287508011)","('NON-ESG', 0.08713620156049728)"
Line 86,The program equips women-owned-and-led small businesses across the Asia-Pacific region with the skills and knowledge needed to grow and develop their companys export capabilities.,"('Employee_Engagement_Inclusion_And_Diversity', 0.759857177734375)","('Human_Rights_And_Community_Relations', 0.03020501881837845)","('Access_And_Affordability', 0.02999512292444706)","(['Talent Attraction & Retention'], 0.759857177734375)","('NON-ESG', 0.03020501881837845)","('NON-ESG', 0.02999512292444706)"
Line 87,"Through this program, Nilu expanded her cross-border trading activities and grew her business despite the pandemic.","('Systemic_Risk_Management', 0.510162353515625)","('Business_Model_Resilience', 0.11542613059282303)","('Physical_Impacts_Of_Climate_Change', 0.05378192290663719)","(['Risk & Crisis Management'], 0.510162353515625)","('NON-ESG', 0.11542613059282303)","('NON-ESG', 0.05378192290663719)"
Line 88,"Equipped with new confidence, Nilu now shares what shes learned with other women-owned businesses in her community.","('Employee_Engagement_Inclusion_And_Diversity', 0.3529347777366638)","('Business_Model_Resilience', 0.09327641874551773)","('Competitive_Behavior', 0.0903126448392868)","('NON-ESG', 0.3529347777366638)","('NON-ESG', 0.09327641874551773)","('NON-ESG', 0.0903126448392868)"
Line 89,LEARN MORE Forging a brighter future through higher education Fulfilling a dream.,"('Access_And_Affordability', 0.7810449004173279)","('Employee_Engagement_Inclusion_And_Diversity', 0.036562543362379074)","('Human_Rights_And_Community_Relations', 0.01692492701113224)","([], 0.7810449004173279)","('NON-ESG', 0.036562543362379074)","('NON-ESG', 0.01692492701113224)"
Line 90,Thats what the OCA-UPS Gold Mountain Scholarship is all about.,"('Employee_Engagement_Inclusion_And_Diversity', 0.2725086808204651)","('Management_Of_Legal_And_Regulatory_Framework', 0.11972817033529282)","('Access_And_Affordability', 0.11230472475290298)","('NON-ESG', 0.2725086808204651)","('NON-ESG', 0.11972817033529282)","('NON-ESG', 0.11230472475290298)"
Line 91,"Since 1999, The UPS Foundation has provided the funding for more than 160 scholarships to support first-generation Asian American and Pacific Islander high school students in their pursuit of higher education.","('Employee_Engagement_Inclusion_And_Diversity', 0.9693987965583801)","('Access_And_Affordability', 0.0029879764188081026)","('Human_Rights_And_Community_Relations', 0.002609845483675599)","(['Talent Attraction & Retention'], 0.9693987965583801)","('NON-ESG', 0.0029879764188081026)","('NON-ESG', 0.002609845483675599)"
Line 92,Eh Ler Moo is one of the 2021 scholars.,"('Management_Of_Legal_And_Regulatory_Framework', 0.4578583538532257)","('Access_And_Affordability', 0.08087806403636932)","('Ecological_Impacts', 0.056633368134498596)","('NON-ESG', 0.4578583538532257)","('NON-ESG', 0.08087806403636932)","('NON-ESG', 0.056633368134498596)"
Line 93,"Born in a refugee camp on the Thailand-Myanmar border, she came to the United States in 2008.","('Employee_Engagement_Inclusion_And_Diversity', 0.3066951036453247)","('Human_Rights_And_Community_Relations', 0.16550934314727783)","('Employee_Health_And_Safety', 0.09527715295553207)","('NON-ESG', 0.3066951036453247)","('NON-ESG', 0.16550934314727783)","('NON-ESG', 0.09527715295553207)"
Line 94,She plans to expand her interest in mental health and become a psychologist who works with low-income and immigrant families.,"('Employee_Engagement_Inclusion_And_Diversity', 0.6960963606834412)","('Access_And_Affordability', 0.12568159401416779)","('Employee_Health_And_Safety', 0.0303493682295084)","(['Talent Attraction & Retention'], 0.6960963606834412)","('NON-ESG', 0.12568159401416779)","('NON-ESG', 0.0303493682295084)"
Line 95,Support for the scholarship program is part of a broader collaboration with the OCA-Asian Pacific American Advocates that began in 1994.,"('Employee_Engagement_Inclusion_And_Diversity', 0.9650452136993408)","('Human_Rights_And_Community_Relations', 0.003927840851247311)","('Access_And_Affordability', 0.002642046893015504)","(['Talent Attraction & Retention'], 0.9650452136993408)","('NON-ESG', 0.003927840851247311)","('NON-ESG', 0.002642046893015504)"
Line 96,LEARN MORE 15I Health & Humanitarian Relief I Equity & Economic Empowerment I Local Community Engagement I Planet Protection Protecting the vulnerable from human trafficking More than 40 million people are exploited through human trafficking each year.,"('Human_Rights_And_Community_Relations', 0.8031308054924011)","('Access_And_Affordability', 0.041214194148778915)","('Labor_Practices', 0.021317318081855774)","(['Stakeholder Engagement'], 0.8031308054924011)","('NON-ESG', 0.041214194148778915)","('NON-ESG', 0.021317318081855774)"
Line 97,This insidious trade in human life generates $150 billion in profits.,"('Competitive_Behavior', 0.546554446220398)","('Systemic_Risk_Management', 0.058944255113601685)","('Customer_Welfare', 0.05777917802333832)","([], 0.546554446220398)","('NON-ESG', 0.058944255113601685)","('NON-ESG', 0.05777917802333832)"
Line 98,The UPS Foundation supports the fight against human trafficking in India and Nepal through its support of Plan International USAs PROTECT project.,"('Human_Rights_And_Community_Relations', 0.47423824667930603)","('Labor_Practices', 0.11617481708526611)","('Access_And_Affordability', 0.07219482213258743)","('NON-ESG', 0.47423824667930603)","('NON-ESG', 0.11617481708526611)","('NON-ESG', 0.07219482213258743)"
Line 99,"Providing a holistic approach to trafficking prevention, PROTECT includes everyonefrom girls, young boys, and their families to border patrol agents and local businesses.","('Access_And_Affordability', 0.2699800133705139)","('Human_Rights_And_Community_Relations', 0.23027540743350983)","('Employee_Engagement_Inclusion_And_Diversity', 0.11505739390850067)","('NON-ESG', 0.2699800133705139)","('NON-ESG', 0.23027540743350983)","('NON-ESG', 0.11505739390850067)"
Line 100,The project equips communities with the knowledge and skills they need to identify and stop traffickers.,"('Human_Rights_And_Community_Relations', 0.47857221961021423)","('Data_Security', 0.1611623913049698)","('Access_And_Affordability', 0.06629442423582077)","('NON-ESG', 0.47857221961021423)","('NON-ESG', 0.1611623913049698)","('NON-ESG', 0.06629442423582077)"
Line 101,"And, since financial stress is often linked to trafficking and early marriage, PROTECT provides training to trafficking survivors and at-risk young people to gain in-demand job skills with links to potential employers.","('Access_And_Affordability', 0.34344395995140076)","('Human_Rights_And_Community_Relations', 0.22109723091125488)","('Employee_Engagement_Inclusion_And_Diversity', 0.13040806353092194)","('NON-ESG', 0.34344395995140076)","('NON-ESG', 0.22109723091125488)","('NON-ESG', 0.13040806353092194)"
Line 102,"Restoring dignity and fostering self-sufficiency across Atlanta The survivors of abuse, exploitation, and trafficking that come to Atlantas City of Refuge (COR) face special challenges in their quest to re-enter society.","('Human_Rights_And_Community_Relations', 0.37899160385131836)","('Labor_Practices', 0.12820430099964142)","('Employee_Health_And_Safety', 0.11948712170124054)","('NON-ESG', 0.37899160385131836)","('NON-ESG', 0.12820430099964142)","('NON-ESG', 0.11948712170124054)"
Line 103,"Financial support from The UPS Foundation is directed to CORs Workforce Innovation Hub, which provides job training courses that develop the skills and confidence these women need to earn a job and start a rewarding career.","('Employee_Engagement_Inclusion_And_Diversity', 0.8974588513374329)","('Employee_Health_And_Safety', 0.01559932716190815)","('Labor_Practices', 0.011744898743927479)","(['Talent Attraction & Retention'], 0.8974588513374329)","('NON-ESG', 0.01559932716190815)","('NON-ESG', 0.011744898743927479)"
Line 104,"UPS also partnered with COR to conduct seven job fairs, which led to 114 individuals receiving employment opportunities at UPS.","('Employee_Engagement_Inclusion_And_Diversity', 0.6136304140090942)","('Labor_Practices', 0.2736159563064575)","('Employee_Health_And_Safety', 0.018617061898112297)","(['Talent Attraction & Retention'], 0.6136304140090942)","('NON-ESG', 0.2736159563064575)","('NON-ESG', 0.018617061898112297)"
Line 105,The path to independence can be a long journey.,"('Human_Rights_And_Community_Relations', 0.5753430724143982)","('Competitive_Behavior', 0.05181792378425598)","('Employee_Engagement_Inclusion_And_Diversity', 0.04842095822095871)","(['Stakeholder Engagement'], 0.5753430724143982)","('NON-ESG', 0.05181792378425598)","('NON-ESG', 0.04842095822095871)"
Line 106,"Through its work with COR, The UPS Foundation is helping restore communities and bringing lasting hope to people in crisis by helping them overcome systemic barriers and increase their self-sufficiency.","('Systemic_Risk_Management', 0.8783847689628601)","('Physical_Impacts_Of_Climate_Change', 0.022823961451649666)","('Supply_Chain_Management', 0.011202962137758732)","(['Risk & Crisis Management'], 0.8783847689628601)","('NON-ESG', 0.022823961451649666)","('NON-ESG', 0.011202962137758732)"
Line 107,"16I Health & Humanitarian Relief I Equity & Economic Empowerment I Local Community Engagement I Planet Protection Working to achieve zero hunger The UPS Foundation partnered with the Atlanta Hawks and Goodr, a technology food waste reduction company, to provide Thanksgiving Day essentials to more than 350 families in Clayton County, Georgia.","('Human_Rights_And_Community_Relations', 0.36913982033729553)","('Access_And_Affordability', 0.2750399112701416)","('Critical_Incident_Risk_Management', 0.09670667350292206)","('NON-ESG', 0.36913982033729553)","('NON-ESG', 0.2750399112701416)","('NON-ESG', 0.09670667350292206)"
Line 108,"UPS volunteers along with students of the UPS Scholars program from Spelman College, Morehouse College, and Clark Atlanta University came out to sort, pack, and distribute the free groceries.","('Selling_Practices_And_Product_Labeling', 0.2272798866033554)","('Product_Design_And_Lifecycle_Management', 0.11024059355258942)","('Energy_Management', 0.10679467767477036)","('NON-ESG', 0.2272798866033554)","('NON-ESG', 0.11024059355258942)","('NON-ESG', 0.10679467767477036)"
Line 109,"Additionally, The UPS Jobs team was on hand to speak with the participating families about seasonal job opportunities at UPS.","('Employee_Engagement_Inclusion_And_Diversity', 0.4263903796672821)","('Labor_Practices', 0.3720327317714691)","('Employee_Health_And_Safety', 0.04322506859898567)","('NON-ESG', 0.4263903796672821)","('NON-ESG', 0.3720327317714691)","('NON-ESG', 0.04322506859898567)"
Line 110,"The Foundations work with organizations like Goodr helps advance its ongoing support for diverse, small and medium businesses.","('Employee_Engagement_Inclusion_And_Diversity', 0.8013364672660828)","('Access_And_Affordability', 0.06559249758720398)","('Human_Rights_And_Community_Relations', 0.02282303012907505)","(['Talent Attraction & Retention'], 0.8013364672660828)","('NON-ESG', 0.06559249758720398)","('NON-ESG', 0.02282303012907505)"
